"項目","単位","1980_","1981_","1982_","1983_","1984_59","1985_","1986_","1987_","1988_","1989_1","1990_","1991_","1992_","1993_","1994_6","1995_","1996_","1997_","1998_","1999_11","2000_","2001_","2002_","2003_","2004_16","2005_","2006_","2007_","2008_","2009_","有効数字(少数桁)"
"単身（全世帯）_貯蓄現在高_有価証券","円","","","","","－","","","","","9695.0","","","","","12065.0","","","","","12829.0","","","","","10538.0","","","","","17188.0",""
"単身（全世帯）_負債現在高","円","","","","","12817.0","","","","","10050.0","","","","","19676.0","","","","","16396.0","","","","","20965.0","","","","","24827.0",""
"単身（全世帯）_負債現在高_うち住宅・土地のための負債","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","6320.0","","","","","8236.0",""
"単身（全世帯）_負債保有率","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","114044.0","","","","","124260.0",""
"単身（全世帯）_負債保有率_うち住宅・土地のための負債","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","7376.0","","","","","657.0",""
"単身（全世帯）_負債保有率_(再掲) 20万円以上の負債","円","","","","","－","","","","","26315.0","","","","","30851.0","","","","","33863.0","","","","","43695.0","","","","","38754.0",""
"","％","","","","","30.0","","","","","30.6","","","","","22.6","","","","","25.5","","","","","24.4","","","","","23.8",""
"","千円","","","","","2704.0","","","","","6029.0","","","","","9451.0","","","","","9171.0","","","","","12565.0","","","","","10459.0",""
"","千円","","","","","253.0","","","","","595.0","","","","","421.0","","","","","606.0","","","","","2228.0","","","","","1674.0",""
"単身（勤労者世帯）_集計世帯数","千円","","","","","1949.0","","","","","3511.0","","","","","5880.0","","","","","5286.0","","","","","7124.0","","","","","6039.0",""
"単身（勤労者世帯）_世帯数分布(抽出率調整)","千円","","","","","257.0","","","","","866.0","","","","","2184.0","","","","","2232.0","","","","","1755.0","","","","","1591.0",""
"単身（勤労者世帯）_(１万分比)","千円","","","","","96.0","","","","","1001.0","","","","","827.0","","","","","856.0","","","","","1459.0","","","","","965.0",""
"単身（勤労者世帯）_年齢","千円","","","","","136.0","","","","","196.0","","","","","58.0","","","","","160.0","","","","","1048.0","","","","","225.0",""
"単身（勤労者世帯）_持ち家率（現住居）","千円","","","","","122.0","","","","","174.0","","","","","22.0","","","","","62.0","","","","","967.0","","","","","199.0",""
"単身（勤労者世帯）_家賃・地代を支払っている世帯の割合","％","","","","","16.9","","","","","9.3","","","","","7.0","","","","","10.8","","","","","22.7","","","","","9.0",""
"単身（勤労者世帯）_年間収入","％","","","","","5.1","","","","","5.7","","","","","1.5","","","","","1.7","","","","","12.9","","","","","7.2",""
"単身（勤労者世帯）_収入総額","％","","","","","－","","","","","－","","","","","－","","","","","－","","","","","18.0","","","","","7.2",""
"単身（勤労者世帯）_収入総額_実収入","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"単身（勤労者世帯）_収入総額_実収入_経常収入","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"単身（勤労者世帯）_収入総額_実収入_経常収入_勤め先収入","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"単身（勤労者世帯）_収入総額_実収入_経常収入_勤め先収入_定期収入","","","","","","33.0","","","","","10.0","","","","","32.0","","","","","26.0","","","","","17.0","","","","","17.0",""
"単身（勤労者世帯）_収入総額_実収入_経常収入_勤め先収入_臨時収入","","","","","","985.0","","","","","191.0","","","","","750.0","","","","","965.0","","","","","929.0","","","","","42694.0",""
"単身（勤労者世帯）_収入総額_実収入_経常収入_本業以外の勤め先・事業・内職収入","","","","","","79.0","","","","","18.0","","","","","68.0","","","","","57.0","","","","","54.0","","","","","61.0",""
"単身（勤労者世帯）_収入総額_実収入_経常収入_他の経常収入","歳","","","","","36.2","","","","","25.5","","","","","37.8","","","","","45.1","","","","","45.0","","","","","45.9",""
"単身（勤労者世帯）_収入総額_実収入_経常収入_他の経常収入_財産収入","％","","","","","－","","","","","－","","","","","－","","","","","－","","","","","63.2","","","","","52.3",""
"単身（勤労者世帯）_収入総額_実収入_経常収入_他の経常収入_社会保障給付","％","","","","","79.1","","","","","74.9","","","","","59.8","","","","","55.5","","","","","36.8","","","","","48.8",""
"単身（勤労者世帯）_収入総額_実収入_経常収入_他の経常収入_社会保障給付_公的年金給付","千円","","","","","2596.0","","","","","2472.0","","","","","3148.0","","","","","3433.0","","","","","3466.0","","","","","4132.0",""
"単身（勤労者世帯）_収入総額_実収入_経常収入_他の経常収入_社会保障給付_他の社会保障給付","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"単身（勤労者世帯）_収入総額_実収入_経常収入_他の経常収入_仕送り金","円","","","","","189315.0","","","","","211179.0","","","","","234809.0","","","","","247261.0","","","","","276290.0","","","","","281977.0",""
"単身（勤労者世帯）_収入総額_実収入_特別収入_他の経常収入","円","","","","","185923.0","","","","","207617.0","","","","","229475.0","","","","","239810.0","","","","","267017.0","","","","","280764.0",""
"単身（勤労者世帯）_収入総額_実収入_特別収入_受贈金","円","","","","","170026.0","","","","","203560.0","","","","","211522.0","","","","","203315.0","","","","","245369.0","","","","","262412.0",""
"単身（勤労者世帯）_収入総額_実収入_特別収入_その他","円","","","","","164687.0","","","","","199212.0","","","","","210431.0","","","","","202863.0","","","","","245369.0","","","","","262369.0",""
"単身（勤労者世帯）_収入総額_実収入_(再掲)移転収入","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"単身（勤労者世帯）_収入総額_実収入以外の収入","円","","","","","－","","","","","4058.0","","","","","－","","","","","－","","","","","1351.0","","","","","1382.0",""
"単身（勤労者世帯）_収入総額_実収入以外の収入_預貯金引出","円","","","","","15897.0","","","","","－","","","","","16027.0","","","","","36495.0","","","","","20297.0","","","","","16970.0",""
"単身（勤労者世帯）_収入総額_実収入以外の収入_保険取金","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"単身（勤労者世帯）_収入総額_実収入以外の収入_有価証券売却","円","","","","","－","","","","","－","","","","","3581.0","","","","","36340.0","","","","","18239.0","","","","","14945.0",""
"単身（勤労者世帯）_収入総額_実収入以外の収入_土地家屋借入金","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"単身（勤労者世帯）_収入総額_実収入以外の収入_他の借入金","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"単身（勤労者世帯）_収入総額_実収入以外の収入_分割払・一括払購入借入金","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"単身（勤労者世帯）_収入総額_実収入以外の収入_財産売却","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"単身（勤労者世帯）_収入総額_実収入以外の収入_その他","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"単身（勤労者世帯）_収入総額_繰入金","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"単身（勤労者世帯）_可処分所得","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"単身（勤労者世帯）_支出総額","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","160152.0","","","","","151284.0",""
"単身（勤労者世帯）_支出総額_実支出","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","144122.0","","","","","142500.0",""
"単身（勤労者世帯）_支出総額_実支出_消費支出","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","2389.0","","","","","－",""
"単身（勤労者世帯）_支出総額_実支出_消費支出_食料","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"単身（勤労者世帯）_支出総額_実支出_消費支出_食料_穀類","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"単身（勤労者世帯）_支出総額_実支出_消費支出_食料_魚介類","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"単身（勤労者世帯）_支出総額_実支出_消費支出_食料_肉類","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"単身（勤労者世帯）_支出総額_実支出_消費支出_食料_乳卵類","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"単身（勤労者世帯）_支出総額_実支出_消費支出_食料_野菜・海藻","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"単身（勤労者世帯）_支出総額_実支出_消費支出_食料_果物","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"単身（勤労者世帯）_支出総額_実支出_消費支出_食料_油脂・調味料","円","","","","","159730.0","","","","","180936.0","","","","","198611.0","","","","","212631.0","","","","","243931.0","","","","","228973.0",""
"単身（勤労者世帯）_支出総額_実支出_消費支出_食料_菓子類","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"単身（勤労者世帯）_支出総額_実支出_消費支出_食料_調理食品","円","","","","","167823.0","","","","","148891.0","","","","","192864.0","","","","","195242.0","","","","","199437.0","","","","","228404.0",""
"単身（勤労者世帯）_支出総額_実支出_消費支出_食料_飲料","円","","","","","138238.0","","","","","118649.0","","","","","156666.0","","","","","160612.0","","","","","167077.0","","","","","175400.0",""
"単身（勤労者世帯）_支出総額_実支出_消費支出_食料_酒類","円","","","","","41168.0","","","","","47714.0","","","","","33977.0","","","","","41379.0","","","","","36622.0","","","","","34805.0",""
"単身（勤労者世帯）_支出総額_実支出_消費支出_食料_外食","円","","","","","2173.0","","","","","1346.0","","","","","2234.0","","","","","3335.0","","","","","3518.0","","","","","2029.0",""
"単身（勤労者世帯）_支出総額_実支出_消費支出_食料_賄い費","円","","","","","2434.0","","","","","669.0","","","","","3329.0","","","","","3575.0","","","","","3067.0","","","","","2864.0",""
"単身（勤労者世帯）_支出総額_実支出_消費支出_住居","円","","","","","1748.0","","","","","777.0","","","","","2977.0","","","","","3346.0","","","","","3218.0","","","","","2091.0",""
"単身（勤労者世帯）_支出総額_実支出_消費支出_住居_家賃地代","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","1150.0","","","","","1330.0",""
"単身（勤労者世帯）_支出総額_実支出_消費支出_住居_家賃地代_（特掲）家賃","円","","","","","2436.0","","","","","468.0","","","","","3354.0","","","","","3651.0","","","","","3048.0","","","","","1962.0",""
"単身（勤労者世帯）_支出総額_実支出_消費支出_光熱・水道","円","","","","","1732.0","","","","","347.0","","","","","1497.0","","","","","1513.0","","","","","1128.0","","","","","904.0",""
"単身（勤労者世帯）_支出総額_実支出_消費支出_光熱・水道_電気代","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","1329.0","","","","","838.0",""
"単身（勤労者世帯）_支出総額_実支出_消費支出_光熱・水道_ガス代","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","1489.0","","","","","2277.0",""
"単身（勤労者世帯）_支出総額_実支出_消費支出_光熱・水道_他の光熱","円","","","","","569.0","","","","","1606.0","","","","","2593.0","","","","","4427.0","","","","","5206.0","","","","","6227.0",""
"単身（勤労者世帯）_支出総額_実支出_消費支出_光熱・水道_上下水道料","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","1795.0","","","","","2361.0",""
"単身（勤労者世帯）_支出総額_実支出_消費支出_家具・家事用品","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","3147.0","","","","","2011.0",""
"単身（勤労者世帯）_支出総額_実支出_消費支出_家具・家事用品_家庭用耐久財","円","","","","","25126.0","","","","","29532.0","","","","","9749.0","","","","","11077.0","","","","","8528.0","","","","","9911.0",""
"単身（勤労者世帯）_支出総額_実支出_消費支出_被服及び履物","円","","","","","1441.0","","","","","5595.0","","","","","2133.0","","","","","1910.0","","","","","－","","","","","－",""
"単身（勤労者世帯）_支出総額_実支出_消費支出_被服及び履物_洋服","円","","","","","14030.0","","","","","11363.0","","","","","17951.0","","","","","12646.0","","","","","15140.0","","","","","21608.0",""
"単身（勤労者世帯）_支出総額_実支出_消費支出_保健医療","円","","","","","11898.0","","","","","8731.0","","","","","17504.0","","","","","10995.0","","","","","13729.0","","","","","21129.0",""
"単身（勤労者世帯）_支出総額_実支出_消費支出_交通・通信","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","13729.0","","","","","21129.0",""
"単身（勤労者世帯）_支出総額_実支出_消費支出_交通・通信_交通","円","","","","","4429.0","","","","","1539.0","","","","","6229.0","","","","","10033.0","","","","","10726.0","","","","","7767.0",""
"単身（勤労者世帯）_支出総額_実支出_消費支出_交通・通信_自動車等関係費","円","","","","","1666.0","","","","","740.0","","","","","3002.0","","","","","5364.0","","","","","4631.0","","","","","3457.0",""
"単身（勤労者世帯）_支出総額_実支出_消費支出_交通・通信_通信","円","","","","","1988.0","","","","","503.0","","","","","2232.0","","","","","2632.0","","","","","3073.0","","","","","1990.0",""
"単身（勤労者世帯）_支出総額_実支出_消費支出_交通・通信_通信_（特掲）移動電話通信料","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"単身（勤労者世帯）_支出総額_実支出_消費支出_教育","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","2433.0","","","","","1660.0",""
"単身（勤労者世帯）_支出総額_実支出_消費支出_教養娯楽","円","","","","","1910.0","","","","","3437.0","","","","","2551.0","","","","","3723.0","","","","","7699.0","","","","","4290.0",""
"単身（勤労者世帯）_支出総額_実支出_消費支出_教養娯楽_教養娯楽用耐久財","円","","","","","110.0","","","","","67.0","","","","","722.0","","","","","1340.0","","","","","3962.0","","","","","153.0",""
"単身（勤労者世帯）_支出総額_実支出_消費支出_教養娯楽_教養娯楽用品","円","","","","","10273.0","","","","","14601.0","","","","","15858.0","","","","","9805.0","","","","","11674.0","","","","","6249.0",""
"単身（勤労者世帯）_支出総額_実支出_消費支出_教養娯楽_書籍・他の印刷物","円","","","","","5665.0","","","","","5643.0","","","","","8216.0","","","","","3610.0","","","","","6206.0","","","","","3387.0",""
"単身（勤労者世帯）_支出総額_実支出_消費支出_教養娯楽_教養娯楽サービス","円","","","","","6239.0","","","","","292.0","","","","","1981.0","","","","","4004.0","","","","","7212.0","","","","","4415.0",""
"単身（勤労者世帯）_支出総額_実支出_消費支出_教養娯楽_教養娯楽サービス_（特掲）インターネット接続料","円","","","","","15522.0","","","","","14116.0","","","","","31617.0","","","","","18994.0","","","","","22911.0","","","","","21585.0",""
"単身（勤労者世帯）_支出総額_実支出_消費支出_その他の消費支出","円","","","","","4108.0","","","","","1802.0","","","","","4383.0","","","","","4385.0","","","","","2969.0","","","","","3416.0",""
"単身（勤労者世帯）_支出総額_実支出_消費支出_その他の消費支出_諸雑費","円","","","","","7049.0","","","","","9560.0","","","","","21745.0","","","","","8186.0","","","","","11913.0","","","","","11465.0",""
"単身（勤労者世帯）_支出総額_実支出_消費支出_その他の消費支出_交際費","円","","","","","4365.0","","","","","2754.0","","","","","5488.0","","","","","6424.0","","","","","8029.0","","","","","6704.0",""
"単身（勤労者世帯）_支出総額_実支出_消費支出_その他の消費支出_仕送り金","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","4727.0","","","","","4614.0",""
"単身（勤労者世帯）_支出総額_(再掲)移転支出_消費支出","円","","","","","25.0","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"単身（勤労者世帯）_支出総額_(再掲)教養娯楽関係費_消費支出","円","","","","","9814.0","","","","","6812.0","","","","","15889.0","","","","","13740.0","","","","","22287.0","","","","","19590.0",""
"単身（勤労者世帯）_(再掲)情報通信関係費_(再掲)教養娯楽関係費_消費支出","円","","","","","826.0","","","","","91.0","","","","","285.0","","","","","2591.0","","","","","6721.0","","","","","432.0",""
"単身（勤労者世帯）_(再掲)経常消費支出_(再掲)教養娯楽関係費_消費支出","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","3849.0","","","","","6878.0",""
"単身（勤労者世帯）_(再掲)経常消費支出_(再掲)教養娯楽関係費_非消費支出","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","3243.0","","","","","3257.0",""
"単身（勤労者世帯）_(再掲)経常消費支出_(再掲)教養娯楽関係費_非消費支出_直接税","円","","","","","5455.0","","","","","3271.0","","","","","8493.0","","","","","3881.0","","","","","8474.0","","","","","9023.0",""
"単身（勤労者世帯）_(再掲)経常消費支出_(再掲)教養娯楽関係費_非消費支出_直接税_勤労所得税","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","1374.0","","","","","2000.0",""
"単身（勤労者世帯）_(再掲)経常消費支出_(再掲)教養娯楽関係費_非消費支出_直接税_個人住民税","円","","","","","34827.0","","","","","18774.0","","","","","30612.0","","","","","46286.0","","","","","32806.0","","","","","55090.0",""
"単身（勤労者世帯）_(再掲)経常消費支出_(再掲)教養娯楽関係費_非消費支出_直接税_他の税","円","","","","","6100.0","","","","","7872.0","","","","","8557.0","","","","","23907.0","","","","","15766.0","","","","","12658.0",""
"単身（勤労者世帯）_(再掲)経常消費支出_(再掲)教養娯楽関係費_非消費支出_社会保険料","円","","","","","19042.0","","","","","6983.0","","","","","15414.0","","","","","21739.0","","","","","13864.0","","","","","21786.0",""
"単身（勤労者世帯）_(再掲)経常消費支出_(再掲)教養娯楽関係費_非消費支出_社会保険料_公的年金保険料","円","","","","","9685.0","","","","","3042.0","","","","","6113.0","","","","","640.0","","","","","3168.0","","","","","20607.0",""
"単身（勤労者世帯）_(再掲)経常消費支出_(再掲)教養娯楽関係費_非消費支出_社会保険料_健康保険料","円","","","","","－","","","","","3956.0","","","","","15073.0","","","","","11073.0","","","","","12104.0","","","","","32375.0",""
"単身（勤労者世帯）_(再掲)経常消費支出_(再掲)教養娯楽関係費_非消費支出_社会保険料_介護保険料","円","","","","","13977.0","","","","","9988.0","","","","","19388.0","","","","","19199.0","","","","","23334.0","","","","","25752.0",""
"単身（勤労者世帯）_(再掲)経常消費支出_(再掲)教養娯楽関係費_非消費支出_社会保険料_他の社会保険料","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","7549.0","","","","","9997.0",""
"単身（勤労者世帯）_(再掲)経常消費支出_(再掲)教養娯楽関係費_非消費支出_他の非消費支出","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","126999.0","","","","","142421.0",""
"単身（勤労者世帯）_(再掲)経常消費支出_実支出以外の支出_非消費支出","円","","","","","29585.0","","","","","30242.0","","","","","36198.0","","","","","34630.0","","","","","32360.0","","","","","53004.0",""
"単身（勤労者世帯）_(再掲)経常消費支出_実支出以外の支出_預貯金","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","10572.0","","","","","24000.0",""
"単身（勤労者世帯）_(再掲)経常消費支出_実支出以外の支出_保険掛金","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"単身（勤労者世帯）_(再掲)経常消費支出_実支出以外の支出_有価証券購入","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"単身（勤労者世帯）_(再掲)経常消費支出_他の実支出以外の支出","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"単身（勤労者世帯）_(再掲)経常消費支出_他の実支出以外の支出_土地家屋借金返済","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","21788.0","","","","","28865.0",""
"単身（勤労者世帯）_(再掲)経常消費支出_他の実支出以外の支出_他の借金返済","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"単身（勤労者世帯）_(再掲)経常消費支出_他の実支出以外の支出_分割払・一括払購入借入金返済","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"単身（勤労者世帯）_(再掲)経常消費支出_他の実支出以外の支出_財産購入","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"単身（勤労者世帯）_(再掲)経常消費支出_他の実支出以外の支出_その他","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"単身（勤労者世帯）_(再掲)経常消費支出_繰越金","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"単身（勤労者世帯）_[持ち家（現住居）の帰属家賃]","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","238148.0","","","","","204078.0",""
"単身（勤労者世帯）_平均消費性向","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","187001.0","","","","","174101.0",""
"単身（勤労者世帯）_金融資産純増率","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","16534.0","","","","","21024.0",""
"単身（勤労者世帯）_金融資産純増率_貯蓄純増（平均貯蓄率）","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","768.0","","","","","－",""
"単身（勤労者世帯）_エンゲル係数","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"単身（勤労者世帯）_貯蓄現在高","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","16756.0","","","","","－",""
"単身（勤労者世帯）_貯蓄現在高_通貨性預貯金","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"単身（勤労者世帯）_貯蓄現在高_定期性預貯金","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"単身（勤労者世帯）_貯蓄現在高_生命保険など","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"単身（勤労者世帯）_貯蓄現在高_有価証券","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"単身（勤労者世帯）_負債現在高","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"単身（勤労者世帯）_負債現在高_うち住宅・土地のための負債","円","","","","","－","","","","","10142.0","","","","","22763.0","","","","","27631.0","","","","","42985.0","","","","","32034.0",""
"単身（勤労者世帯）_負債保有率","％","","","","","86.5","","","","","65.6","","","","","78.9","","","","","75.5","","","","","68.5","","","","","76.6",""
"単身（勤労者世帯）_負債保有率_うち住宅・土地のための負債","％","","","","","5.7","","","","","41.0","","","","","27.8","","","","","16.6","","","","","23.7","","","","","23.0",""
"単身（勤労者世帯）_負債保有率_(再掲)20万 円以上の負債","％","","","","","5.7","","","","","38.8","","","","","27.5","","","","","16.6","","","","","23.4","","","","","23.0",""
"","％","","","","","29.8","","","","","40.2","","","","","21.7","","","","","25.8","","","","","21.9","","","","","19.8",""
"","千円","","","","","2370.0","","","","","2257.0","","","","","6823.0","","","","","8154.0","","","","","10439.0","","","","","11725.0",""
"","千円","","","","","202.0","","","","","227.0","","","","","444.0","","","","","417.0","","","","","1129.0","","","","","1407.0",""
"","千円","","","","","1718.0","","","","","728.0","","","","","3122.0","","","","","4793.0","","","","","4995.0","","","","","6826.0",""
"貯 蓄 ･ 負 債 項 目二人以上（全世帯）_集計世帯数","千円","","","","","268.0","","","","","845.0","","","","","2339.0","","","","","2004.0","","","","","2176.0","","","","","1958.0",""
"貯 蓄 ･ 負 債 項 目二人以上（全世帯）_世帯数分布(抽出率調整)","千円","","","","","8.0","","","","","192.0","","","","","635.0","","","","","846.0","","","","","2138.0","","","","","1341.0",""
"貯 蓄 ･ 負 債 項 目二人以上（全世帯）_(１万分比)","千円","","","","","116.0","","","","","60.0","","","","","118.0","","","","","171.0","","","","","2115.0","","","","","265.0",""
"貯 蓄 ･ 負 債 項 目二人以上（全世帯）_世帯人員","千円","","","","","95.0","","","","","－","","","","","45.0","","","","","－","","","","","1945.0","","","","","265.0",""
"貯 蓄 ･ 負 債 項 目二人以上（全世帯）_世帯人員_18歳未満人員","％","","","","","20.6","","","","","17.8","","","","","14.3","","","","","16.0","","","","","36.1","","","","","2.4",""
"貯 蓄 ･ 負 債 項 目二人以上（全世帯）_世帯人員_65歳以上人員","％","","","","","4.0","","","","","－","","","","","3.0","","","","","－","","","","","24.7","","","","","2.4",""
"貯 蓄 ･ 負 債 項 目二人以上（全世帯）_世帯人員_65歳以上人員_うち無職者人員","％","","","","","－","","","","","－","","","","","－","","","","","－","","","","","36.1","","","","","2.4",""
"貯 蓄 ･ 負 債 項 目二人以上（全世帯）_有業人員","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"貯 蓄 ･ 負 債 項 目二人以上（全世帯）_持ち家率（現住居）","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"貯 蓄 ･ 負 債 項 目二人以上（全世帯）_年間収入","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"貯 蓄 ･ 負 債 項 目二人以上（全世帯）_世帯主の年齢","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"貯 蓄 ･ 負 債 項 目二人以上（全世帯）_現在高","","","","","","631.0","","","","","682.0","","","","","680.0","","","","","709.0","","","","","686.0","","","","","665.0",""
"貯 蓄 ･ 負 債 項 目二人以上（全世帯）_貯蓄現在高","","","","","","7519.0","","","","","6176.0","","","","","6698.0","","","","","7170.0","","","","","7416.0","","","","","299699.0",""
"貯 蓄 ･ 負 債 項 目二人以上（全世帯）_貯蓄現在高_金融機関","","","","","","94.0","","","","","88.0","","","","","90.0","","","","","92.0","","","","","88.0","","","","","85.0",""
"貯 蓄 ･ 負 債 項 目二人以上（全世帯）_貯蓄現在高_金融機関_通貨性預貯金","人","","","","","3.82","","","","","3.69","","","","","3.74","","","","","3.44","","","","","3.26","","","","","3.01",""
"貯 蓄 ･ 負 債 項 目二人以上（全世帯）_貯蓄現在高_金融機関_通貨性預貯金_郵便局","人","","","","","－","","","","","－","","","","","1.11","","","","","0.81","","","","","0.74","","","","","0.6",""
"貯 蓄 ･ 負 債 項 目二人以上（全世帯）_貯蓄現在高_金融機関_通貨性預貯金_銀行等","人","","","","","－","","","","","－","","","","","0.45","","","","","0.51","","","","","0.56","","","","","0.6",""
"貯 蓄 ･ 負 債 項 目二人以上（全世帯）_貯蓄現在高_金融機関_定期性預貯金","人","","","","","－","","","","","－","","","","","0.32","","","","","0.37","","","","","0.44","","","","","0.45",""
"貯 蓄 ･ 負 債 項 目二人以上（全世帯）_貯蓄現在高_金融機関_定期性預貯金_郵便局","人","","","","","1.58","","","","","1.65","","","","","1.61","","","","","1.57","","","","","1.43","","","","","1.43",""
"貯 蓄 ･ 負 債 項 目二人以上（全世帯）_貯蓄現在高_金融機関_定期性預貯金_銀行等","％","","","","","82.8","","","","","84.1","","","","","85.0","","","","","84.8","","","","","88.9","","","","","88.7",""
"貯 蓄 ･ 負 債 項 目二人以上（全世帯）_貯蓄現在高_金融機関_金投資口座・金貯蓄口座","千円","","","","","5435.0","","","","","5967.0","","","","","7035.0","","","","","6959.0","","","","","6186.0","","","","","5569.0",""
"貯 蓄 ･ 負 債 項 目二人以上（全世帯）_貯蓄現在高_金融機関_生命保険など","歳","","","","","47.5","","","","","49.7","","","","","48.5","","","","","51.6","","","","","53.5","","","","","55.0",""
"貯 蓄 ･ 負 債 項 目二人以上（全世帯）_貯蓄現在高_金融機関_有価証券","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"貯 蓄 ･ 負 債 項 目二人以上（全世帯）_貯蓄現在高_金融機関_有価証券_株式・株式投資信託","千円","","","","","8106.0","","","","","10863.0","","","","","12909.0","","","","","14551.0","","","","","16376.0","","","","","14645.0",""
"貯 蓄 ･ 負 債 項 目二人以上（全世帯）_貯蓄現在高_金融機関_有価証券_債券・公社債投資信託","千円","","","","","7859.0","","","","","10646.0","","","","","12646.0","","","","","14219.0","","","","","－","","","","","－",""
"貯 蓄 ･ 負 債 項 目二人以上（全世帯）_貯蓄現在高_金融機関_有価証券_貸付信託・金銭信託","千円","","","","","577.0","","","","","809.0","","","","","758.0","","","","","1209.0","","","","","1806.0","","","","","1684.0",""
"貯 蓄 ･ 負 債 項 目二人以上（全世帯）_貯蓄現在高_その他","千円","","","","","489.0","","","","","671.0","","","","","602.0","","","","","834.0","","","","","1304.0","","","","","1276.0",""
